2018-19  Graduates Attending Institutions of Higher Education (District) - All Students - All Colleges and Universities,,,,,,,,,,,
District Name,District Code,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
Narragansett,07200000,82,49,59.8,0,14.3,40.8,44.9,40.8,30.6,12.2
Nashoba,07250000,240,214,89.2,0,53.7,7.9,38.3,7.5,7,15
Nashoba Valley Regional Vocational Technical,08520000,165,94,57,0,35.1,29.8,35.1,28.7,18.1,10.6
Natick,01980000,372,305,82,0,39,9.2,51.8,9.2,9.2,19.7
Nauset,06600000,241,191,79.3,0,38.7,22.5,38.7,21.5,7.9,14.1
Needham,01990000,443,393,88.7,0,52.7,4.8,42.5,4.8,1.3,20.6
New Bedford,02010000,407,171,42,1.2,12.9,50.9,35.1,50.3,14,18.7
Newburyport,02040000,180,141,78.3,0,44,7.8,48.2,7.1,7.8,10.6
Newton,02070000,966,790,81.8,0,61.1,5.3,33.5,4.8,3.3,14.8
Norfolk County Agricultural,09150000,137,99,72.3,0,24.2,27.3,48.5,26.3,13.1,6.1
North Adams,02090000,80,41,51.3,0,29.3,9.8,61,7.3,53.7,7.3
North Andover,02110000,398,350,87.9,0,42.9,13.1,44,12.9,2.3,20
North Attleborough,02120000,274,239,87.2,0,38.5,15.1,46,13.8,13.8,18.4
North Brookfield,02150000,35,19,54.3,0,36.8,21.1,42.1,21.1,15.8,15.8
North Middlesex,07350000,184,147,79.9,0,36.7,11.6,51.7,8.8,23.1,17
North Reading,02170000,187,156,83.4,0,46.8,7.7,45.5,7.1,7.7,16
Northampton,02100000,209,162,77.5,0,50,17.3,32.7,17.3,11.7,11.7
Northampton-Smith Vocational Agricultural,04060000,123,48,39,0,18.8,62.5,18.8,58.3,16.7,0
Northboro-Southboro,07300000,364,331,90.9,0,50.2,6.3,43.5,6,8.8,14.8
Northbridge,02140000,130,96,73.8,0,32.3,17.7,50,15.6,26,13.5
Northeast Metropolitan Regional Vocational Technical,08530000,287,141,49.1,0,25.5,41.8,32.6,41.8,12.8,14.2
Northern Berkshire Regional Vocational Technical,08510000,108,44,40.7,0,27.3,31.8,40.9,27.3,34.1,0
Norton,02180000,183,143,78.1,0,30.8,14,55.2,12.6,21,18.2
Norwell,02190000,172,155,90.1,0,47.1,3.9,48.4,3.9,5.2,19.4
Norwood,02200000,237,177,74.7,0,44.6,16.9,38.4,16.4,13,16.4
Old Colony Regional Vocational Technical,08550000,128,73,57,0,27.4,38.4,34.2,38.4,20.5,12.3
Old Rochester,07400000,186,167,89.8,0,38.3,11.4,50.3,11.4,15,21
Oxford,02260000,90,54,60,0,18.5,37,44.4,37,25.9,14.8
Palmer,02270000,101,67,66.3,0,34.3,40.3,25.4,38.8,10.4,10.4
Pathfinder Regional Vocational Technical,08600000,122,42,34.4,0,28.6,64.3,7.1,61.9,7.1,0
Paulo Freire Social Justice Charter School (District),35010000,58,32,55.2,0,18.8,56.3,25,56.3,18.8,0
Peabody,02290000,339,242,71.4,0,33.9,21.1,45,21.1,26,10.7
Pembroke,02310000,225,170,75.6,0,30.6,13.5,55.9,12.9,18.8,16.5
Pentucket,07450000,150,136,90.7,0,28.7,18.4,52.9,18.4,5.9,19.9
Phoenix Academy Public Charter High School Lawrence (District),35180000,10,,,,,,,,,
Phoenix Academy Public Charter High School Springfield (District),35080000,14,,,,,,,,,
Phoenix Charter Academy (District),04930000,16,8,50,0,25,75,0,62.5,0,0
Pioneer Charter School of Science (District),04940000,37,34,91.9,0,55.9,11.8,32.4,11.8,5.9,26.5
Pioneer Charter School of Science II (PCSS-II) (District),35060000,45,38,84.4,0,57.9,15.8,26.3,15.8,7.9,18.4
Pioneer Valley,07500000,58,44,75.9,0,22.7,52.3,25,50,9.1,6.8
Pioneer Valley Chinese Immersion Charter (District),04970000,15,12,80,0,58.3,8.3,33.3,8.3,0,25
Pioneer Valley Performing Arts Charter Public (District),04790000,61,53,86.9,0,54.7,26.4,18.9,24.5,7.5,3.8
Pittsfield,02360000,350,248,70.9,1.6,26.6,46.4,25.4,45.6,14.5,6.9
Plymouth,02390000,571,390,68.3,0.3,34.4,23.8,41.5,23.3,14.6,15.1
Prospect Hill Academy Charter (District),04870000,66,64,97,0,57.8,4.7,37.5,4.7,25,12.5
Quabbin,07530000,136,103,75.7,0,31.1,22.3,45.6,21.4,13.6,14.6
Quaboag Regional,07780000,98,60,61.2,0,30,21.7,48.3,18.3,21.7,20
Quincy,02430000,703,527,75,0,34.3,15,50.7,14.4,10.8,36.6
Ralph C Mahar,07550000,158,109,69,0,18.3,57.8,23.9,55,14.7,9.2
Randolph,02440000,143,98,68.5,0,27.6,32.7,39.8,31.6,8.2,23.5
Reading,02460000,331,289,87.3,0,52.6,5.5,41.9,5.2,5.2,21.5
Revere,02480000,458,304,66.4,0,27,40.1,32.9,39.5,12.2,19.7
Rising Tide Charter Public (District),04830000,64,51,79.7,0,49,2,49,2,17.6,21.6
Rockland,02510000,118,89,75.4,0,28.1,23.6,48.3,23.6,24.7,16.9
Rockport,02520000,83,62,74.7,1.6,43.5,8.1,46.8,6.5,17.7,14.5
Roxbury Preparatory Charter (District),04840000,70,62,88.6,0,32.3,8.1,59.7,6.5,24.2,33.9
Sabis International Charter (District),04410000,110,91,82.7,0,40.7,40.7,18.7,40.7,3.3,13.2
Salem,02580000,227,141,62.1,0,22.7,29.1,48.2,27,31.9,11.3
Salem Academy Charter (District),04850000,50,43,86,0,37.2,4.7,58.1,4.7,41.9,16.3
Sandwich,02610000,161,127,78.9,0,40.2,17.3,42.5,16.5,15,15
Saugus,02620000,159,126,79.2,0,31.7,15.1,53.2,15.1,20.6,23
Scituate,02640000,210,186,88.6,0,53.2,5.4,41.4,3.2,4.3,19.4
Seekonk,02650000,157,128,81.5,0,28.1,14.1,55.5,13.3,11.7,17.2
Sharon,02660000,287,249,86.8,0,49.4,4.8,45.8,4.4,1.6,22.1
Shawsheen Valley Regional Vocational Technical,08710000,303,183,60.4,0,28.4,38.3,33.3,36.6,10.9,14.2
Shrewsbury,02710000,430,387,90,0,41.6,11.1,47.3,10.6,10.3,19.9
Silver Lake,07600000,256,196,76.6,0,42.3,14.3,43.4,14.3,14.8,13.8
Sizer School: A North Central Charter Essential (District),04740000,36,26,72.2,0,7.7,53.8,38.5,50,30.8,3.8
Somerset Berkley Regional School District,07630000,251,191,76.1,0,24.6,26.7,48.7,25.7,13.6,26.7
Somerville,02740000,300,195,65,0,25.1,32.3,42.6,32.3,9.7,26.2
South Hadley,02780000,127,97,76.4,0,42.3,27.8,29.9,26.8,2.1,14.4
South Middlesex Regional Vocational Technical,08290000,155,53,34.2,0,20.8,37.7,41.5,35.8,28.3,7.5
South Shore Charter Public (District),04880000,61,49,80.3,0,34.7,22.4,42.9,22.4,12.2,22.4
South Shore Regional Vocational Technical,08730000,156,51,32.7,0,37.3,35.3,27.5,31.4,23.5,0
Southborough,02760000,1,,,,,,,,,
Southbridge,02770000,101,44,43.6,2.3,29.5,40.9,27.3,40.9,15.9,11.4
Southeastern Regional Vocational Technical,08720000,344,196,57,0,28.6,30.6,38.8,29.1,22.4,14.3
Southern Berkshire,07650000,39,27,69.2,0,29.6,40.7,29.6,25.9,7.4,7.4
Southern Worcester County Regional Vocational Technical,08760000,267,141,52.8,0,37.6,33.3,29.1,30.5,19.1,7.1
Southwick-Tolland-Granville Regional School District,07660000,120,88,73.3,0,30.7,23.9,45.5,22.7,22.7,10.2
Spencer-E Brookfield,07670000,88,57,64.8,0,33.3,28.1,38.6,28.1,21.1,12.3
Springfield,02810000,1469,741,50.4,0.4,21.2,61.8,16.6,59.2,9.6,3.8
Stoneham,02840000,169,137,81.1,0,41.6,8.8,49.6,8.8,17.5,20.4
Stoughton,02850000,256,208,81.3,0,31.3,21.6,47.1,20.7,14.4,24.5
Sturgis Charter Public (District),04890000,194,181,93.3,0,42,14.4,43.6,14.4,7.2,21
Sutton,02900000,100,91,91,0,37.4,11,51.6,11,26.4,7.7
Swampscott,02910000,168,155,92.3,0,51.6,7.7,40.6,7.1,10.3,12.3
Swansea,02920000,130,98,75.4,0,24.5,22.4,51,19.4,10.2,29.6
TEC Connections Academy Commonwealth Virtual School District,39020000,237,86,36.3,0,29.1,45.3,25.6,38.4,8.1,4.7
Tantasqua,07700000,258,165,64,0,35.2,21.8,43,21.2,17,13.3
Taunton,02930000,495,317,64,0,27.1,27.8,44.8,27.8,20.5,20.8
Tewksbury,02950000,242,200,82.6,0,36,10,54,10,15.5,24.5
Tri-County Regional Vocational Technical,08780000,242,115,47.5,0,34.8,29.6,35.7,22.6,15.7,10.4
Triton,07730000,170,130,76.5,0,43.8,16.9,39.2,14.6,11.5,10
Tyngsborough,03010000,122,107,87.7,0,30.8,19.6,49.5,19.6,8.4,23.4
Upper Cape Cod Regional Vocational Technical,08790000,157,86,54.8,0,25.6,37.2,37.2,37.2,19.8,12.8
Uxbridge,03040000,144,111,77.1,0,27.9,36,36,35.1,13.5,9.9
Wachusett,07750000,555,475,85.6,0,38.3,17.3,44.4,16.8,18.1,14.1
Wakefield,03050000,226,186,82.3,0,47.3,10.2,42.5,9.7,7,23.7
Walpole,03070000,294,257,87.4,0,44.7,12.5,42.8,11.3,8.2,19.8
Waltham,03080000,347,234,67.4,0,36.3,25.2,38.5,24.8,15.8,15.4
Ware,03090000,67,41,61.2,0,29.3,22,48.8,19.5,29.3,9.8
Wareham,03100000,123,59,48,0,23.7,28.8,47.5,28.8,13.6,23.7
Watertown,03140000,154,114,74,0,39.5,15.8,44.7,15.8,9.6,26.3
Wayland,03150000,207,191,92.3,0,66,3.1,30.9,2.6,4.2,15.2
