2018-19 Advanced Placement Performance - All Subjects - All Students,,,,,,,,,
District Name,District Code,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
Southern Berkshire,07650000,      47,       9,      10,      15,       8,       5,  40.4,  59.6
Southern Worcester County Regional Vocational Technical,08760000,     168,      45,      63,      41,      13,       6,  64.3,  35.7
Southwick-Tolland-Granville Regional School District,07660000,     101,      30,      31,      21,      12,       7,  60.4,  39.6
Spencer-E Brookfield,07670000,      38,       6,       9,       9,      12,       2,  39.5,  60.5
Springfield,02810000,"   1,091",     503,     321,     166,      71,      30,  75.5,  24.5
Stoneham,02840000,     243,      15,      43,      98,      67,      20,  23.9,  76.1
Stoughton,02850000,     278,      53,      88,      89,      38,      10,  50.7,  49.3
Sturgis Charter Public (District),04890000,       1,,,,,,,
Sutton,02900000,     318,      48,      79,     106,      57,      28,  39.9,  60.1
Swampscott,02910000,     459,      20,      98,     157,     124,      60,  25.7,  74.3
Swansea,02920000,     208,      36,      74,      58,      29,      11,  52.9,  47.1
TEC Connections Academy Commonwealth Virtual School District,39020000,      73,       9,      18,      22,      18,       6,  37.0,  63.0
Tantasqua,07700000,     400,      24,     114,     110,     106,      46,  34.5,  65.5
Taunton,02930000,     606,     168,     195,     150,      68,      25,  59.9,  40.1
Tewksbury,02950000,     377,      40,      57,     104,     109,      67,  25.7,  74.3
Tri-County Regional Vocational Technical,08780000,     132,      43,      39,      35,      12,       3,  62.1,  37.9
Triton,07730000,     200,      17,      32,      57,      61,      33,  24.5,  75.5
Tyngsborough,03010000,     108,       5,      22,      39,      32,      10,  25.0,  75.0
Upper Cape Cod Regional Vocational Technical,08790000,      17,       1,       3,      10,       3,       0,  23.5,  76.5
Uxbridge,03040000,     151,      20,      40,      51,      30,      10,  39.7,  60.3
Wachusett,07750000,     724,       4,      80,     181,     238,     221,  11.6,  88.4
Wakefield,03050000,     399,      27,      86,     115,      96,      75,  28.3,  71.7
Walpole,03070000,     430,       8,      30,      99,     179,     114,   8.8,  91.2
Waltham,03080000,     546,      70,     111,     155,     124,      86,  33.2,  66.8
Ware,03090000,      54,       6,      12,      22,      11,       3,  33.3,  66.7
Wareham,03100000,     109,      25,      53,      24,       6,       1,  71.6,  28.4
Watertown,03140000,     162,       4,      21,      42,      49,      46,  15.4,  84.6
Wayland,03150000,     497,       9,      37,     107,     123,     221,   9.3,  90.7
Webster,03160000,     240,      71,      88,      44,      23,      14,  66.3,  33.8
Wellesley,03170000,     861,      11,      47,     163,     311,     329,   6.7,  93.3
West Boylston,03220000,      87,       9,      18,      27,      25,       8,  31.0,  69.0
West Bridgewater,03230000,     215,      43,      92,      57,      21,       2,  62.8,  37.2
West Springfield,03320000,     438,      49,     122,     140,      83,      44,  39.0,  61.0
Westborough,03210000,     543,      20,      39,     116,     196,     172,  10.9,  89.1
Westfield,03250000,     502,     155,     152,     125,      55,      15,  61.2,  38.8
Westford,03260000,     888,       8,      22,     152,     297,     409,   3.4,  96.6
Weston,03300000,     726,      23,      83,     173,     227,     220,  14.6,  85.4
Westport,03310000,     132,      25,      24,      33,      35,      15,  37.1,  62.9
Westwood,03350000,     726,      12,      65,     189,     274,     186,  10.6,  89.4
Weymouth,03360000,     530,      38,     130,     164,     140,      58,  31.7,  68.3
Whitman-Hanson,07800000,     677,      91,     209,     196,     131,      50,  44.3,  55.7
Whittier Regional Vocational Technical,08850000,       6,,,,,,,
Wilmington,03420000,     343,      25,      79,     108,      91,      40,  30.3,  69.7
Winchendon,03430000,      61,       5,      18,      28,       6,       4,  37.7,  62.3
Winchester,03440000,     675,      13,      44,     156,     225,     237,   8.4,  91.6
Winthrop,03460000,     318,     111,      76,      66,      47,      18,  58.8,  41.2
Woburn,03470000,     322,      26,      97,     102,      71,      26,  38.2,  61.8
Worcester,03480000,"   2,593",     962,     663,     526,     305,     137,  62.7,  37.3
State Totals,00000000," 104,854","  13,217","  21,101","  26,801","  23,999","  19,736",  32.7,  67.3
